A,B,C,D,E,F,G,insee
0,0,2,6,2,2,0,22305
2,1,2,1,1,2,0,22306
3,1,3,20,14,4,4,22307
0,0,3,3,4,3,4,22308
1,0,0,1,2,0,1,22309
3,1,1,4,1,1,0,22310
0,0,3,6,8,1,3,22311
0,0,0,0,2,0,3,22312
1,0,0,1,2,5,1,22313
1,1,0,3,0,0,1,22314
1,0,1,1,3,4,1,22315
0,0,1,1,2,5,9,22316
0,0,0,1,2,2,4,22317
0,0,0,1,4,2,0,22318
58,59,194,55,63,12,10,22319
0,0,1,1,2,1,1,22320
0,1,3,9,16,17,21,22321
0,0,1,2,2,6,3,22322
8,0,0,4,5,1,6,22323
390,793,475,159,107,30,27,22324
9,5,21,31,56,28,26,22325
4,1,3,2,1,0,0,22326
7,1,11,14,10,6,2,22327
1,0,0,5,1,4,6,22328
0,1,2,4,4,0,2,22330
0,0,0,2,5,4,2,22331
3,0,3,1,1,1,1,22332
0,0,2,8,5,5,10,22333
0,0,0,0,1,1,1,22334
0,0,0,1,11,1,2,22335
0,1,6,12,11,10,6,22337
0,0,3,3,0,2,1,22338
14,8,20,42,15,16,2,22339
0,3,3,5,3,1,2,22340
0,0,1,6,8,1,4,22341
0,1,1,3,2,0,2,22342
48,40,378,84,72,28,13,22343
1,1,3,3,12,5,4,22344
2,1,4,2,5,2,8,22345
2,2,4,9,7,7,2,22346
4,1,5,6,5,7,3,22347
0,0,2,3,7,3,4,22348
1,2,1,4,5,4,3,22349
1,0,1,1,0,2,1,22350
2,0,0,7,5,3,3,22351
0,0,3,0,2,0,1,22352
8,2,14,16,46,17,5,22353
2,0,5,7,5,1,3,22354
1,1,3,3,3,3,5,22356
1,0,2,0,2,5,3,22358
0,0,3,3,3,4,1,22359
8,5,74,87,62,38,12,22360
0,0,3,4,4,1,1,22361
0,1,11,36,49,32,18,22362
5,2,2,16,11,10,9,22363
12,2,9,32,18,5,5,22364
1,0,1,1,0,0,0,22365
2,1,1,2,3,4,3,22366
0,0,4,4,2,0,0,22368
2,0,2,4,7,2,6,22369
